,item, price ,url
303,"New spark plugs for roto-tillers, snow-blowers and other small engines", $5.00 ,https://toronto.craigslist.org/yrk/tls/d/north-york-new-spark-plugs-for-roto/6789617891.html
304,used Makita 14.4V drills with battery & charger, $39.00 ,https://toronto.craigslist.org/yrk/tls/d/thornhill-used-makita-144v-drills-with/6789334509.html
305,Air compressor hardly used, $200.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-air-compressor-hardly-used/6789160739.html
306,BRAND NEW JUMP STARTER / PERSONAL POWER SUPPLY, $130.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-jump-starter/6788993286.html
307,6FT EXTRA LONG HSS DRILL BIT, $30.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-6ft-extra-long-hss-drill-bit/6788992991.html
308,Measuring Wheel, $10.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-measuring-wheel/6788993720.html
309,BRAND NEW BENCH GRINDER STAND, $50.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-bench-grinder-stand/6788992508.html
310,Ultrasonic measuring device, $35.00 ,https://toronto.craigslist.org/mss/tls/d/mississauga-ultrasonic-measuring-device/6788931123.html
311,"Dual Hinged Top Toolbox, Mastercraft 58-0825-2", $40.00 ,https://toronto.craigslist.org/tor/tls/d/dual-hinged-top-toolbox-mastercraft/6769062104.html
312,plyers and tape measure, $30.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-plyers-and-tape-measure/6788705014.html
313,Scale Torque Wrench, $30.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-scale-torque-wrench/6788602574.html
314,Brand New 3pc Torque Screwdriver, $5.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-3pc-torque/6788449417.html
315,"Mastercraft 3/8"" Drill", $20.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-mastercraft-3-8-drill/6788332882.html
316,UNIVERSAL OVERHEAD VALVE SPRING COMPRESSOR, $15.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-universal-overhead-valve/6788267199.html
317,11 PC. MANIFOLD ADAPTORS, $25.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-11-pc-manifold-adaptors/6788266179.html
318,BRAND NEW 18PC RUBBER INSULATED CLAMP, $10.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-18pc-rubber/6788266562.html
319,BRAND NEW 8 PCS WING TOGGLE BOLT ASSORTMENT, $10.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-8-pcs-wing-toggle/6788266845.html
320,Dymax Professional Grass Trimmer Line, $9.00 ,https://toronto.craigslist.org/yrk/tls/d/north-york-dymax-professional-grass/6788103449.html
321,Mastercraft Maximum 4-in-1 Laser Pro, $30.00 ,https://toronto.craigslist.org/mss/tls/d/mississauga-mastercraft-maximum-4-in-1/6788075907.html
322,North Rite-On Safety Fall Harness  save money!!!, $250.00 ,https://toronto.craigslist.org/mss/tls/d/mississauga-north-rite-on-safety-fall/6788076370.html
323,plyers and tape measure, $35.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-plyers-and-tape-measure/6787693192.html
324,Power Tools Li-ion/Ni-Cad Battery Replacement, $40.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-power-tools-li-ion-ni-cad/6787641759.html
325,5PCS DIAMOND HOLE SAW SET, $35.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-5pcs-diamond-hole-saw-set/6787640360.html
326,"42"" Delineator Post with Base", $30.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-42-delineator-post-with-base/6787637400.html
327,Portable Manual Car Gas Oil Water Liquid Transfer Hand pump, $6.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-portable-manual-car-gas-oil/6787639008.html
328,Dual Scale Torque Wrench, $35.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-dual-scale-torque-wrench/6787381078.html
329,Work light, $20.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-work-light/6768252179.html
330,nails, $2.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-nails/6787204423.html
331,COMPACT METAL BENDER YP-9, $109.00 ,https://toronto.craigslist.org/mss/tld/d/burnaby-compact-metal-bender-yp-9/6766405076.html
332,EGO pole saw attachment, $75.00 ,https://toronto.craigslist.org/tor/tls/d/east-york-ego-pole-saw-attachment/6786886494.html
333,"BRAND NEW 7""X6"" SCRAPER WITH 54"" LONG HANDLE", $17.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-7x6-scraper-with/6786726048.html
334,"Brand new 10"" Random Orbit Polisher/ 7"" Polisher/sander Variable Speed", $40.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-10-random-orbit/6786722271.html
335,New Face Shield Viser, $10.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-new-face-shield-viser/6786722600.html
