,item,price,url
50,Heavy Duty Packing Tape Dispenser,$5,https://toronto.craigslist.org/oak/tls/d/oakville-heavy-duty-packing-tape/6786817847.html
51,Brand New 350W HVLP FLOOR BASED SPRAY GUN,$80,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-350w-hvlp-floor/6802701345.html
52,Transfer Punch Set,$75,https://toronto.craigslist.org/yrk/tls/d/newmarket-transfer-punch-set/6786183782.html
53,Carbide Inserts NEW,$0.00,https://toronto.craigslist.org/yrk/tls/d/newmarket-carbide-inserts-new/6786184026.html
54,SMC Air Cylinder,$150,https://toronto.craigslist.org/yrk/tls/d/newmarket-smc-air-cylinder/6786184341.html
55,"1-3/16"" HSS Taper Shank Drill Bit NEW",$45,https://toronto.craigslist.org/yrk/tls/d/newmarkethss-taper-shank-drill-bit-new/6786184709.html
56,"Somet 20"" Height Gage",$160,https://toronto.craigslist.org/yrk/tls/d/newmarket-somet-20-height-gage/6786185308.html
57,"1/2"" Socket Shoulder Screws",$65,https://toronto.craigslist.org/yrk/tls/d/newmarket-1-2-socket-shoulder-screws/6787188511.html
58,Sine Bar,$180,https://toronto.craigslist.org/yrk/tls/d/newmarket-sine-bar/6787189191.html
59,Steel Dowel Pins,$0.00,https://toronto.craigslist.org/yrk/tls/d/newmarket-steel-dowel-pins/6787189593.html
60,"End Mills 5/8"" & 3/4"" - new",$0.00,https://toronto.craigslist.org/yrk/tls/d/newmarket-end-millsnew/6787189874.html
61,BRAND NEW DRILL GAUGE,$4,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-drill-gauge/6802700032.html
62,40PC SOCKET TRAY RACK,$13,https://toronto.craigslist.org/tor/tld/d/north-york-40pc-socket-tray-rack/6802700257.html
63,"10"" 15amp Table Saw with Riving Knife",$165,https://toronto.craigslist.org/tor/tld/d/north-york-10-15amp-table-saw-with/6802700557.html
